Label,releaseMonth,sommeCopiesSold
Action,Apr,174085242
Action,Aug,211808775
Action,Dec,122029163
Action,Feb,149594739
Action,Jan,119846121
Action,Jul,168505769
Action,Jun,221165479
Action,Mar,190580617
Action,May,223182118
Action,Nov,217493207
Action,Oct,273505776
Action,Sep,212435491
Adventure,Apr,162933670
Adventure,Aug,123817504
Adventure,Dec,70301364
Adventure,Feb,152007219
Adventure,Jan,92791718
Adventure,Jul,141024242
Adventure,Jun,163136863
Adventure,Mar,108498063
Adventure,May,157373290
Adventure,Nov,106441325
Adventure,Oct,129364205
Adventure,Sep,155306581
Casual,Apr,85716458
Casual,Aug,80861259
Casual,Dec,45925263
Casual,Feb,74280907
Casual,Jan,38235685
Casual,Jul,108220728
Casual,Jun,110438751
Casual,Mar,45830917
Casual,May,60557745
Casual,Nov,117000386
Casual,Oct,92634068
Casual,Sep,76537743
"Free to Play",Apr,93682082
"Free to Play",Aug,100921523
"Free to Play",Dec,62049896
"Free to Play",Feb,89774697
"Free to Play",Jan,39993492
"Free to Play",Jul,121841382
"Free to Play",Jun,144120442
"Free to Play",Mar,56455159
"Free to Play",May,93370881
"Free to Play",Nov,90585283
"Free to Play",Oct,120401688
"Free to Play",Sep,59350694
Racing,Apr,12831831
Racing,Aug,7568904
Racing,Dec,14042906
Racing,Feb,7736026
Racing,Jan,3286174
Racing,Jul,12140224
Racing,Jun,14633060
Racing,Mar,3487100
Racing,May,4148980
Racing,Nov,7960600
Racing,Oct,28544547
Racing,Sep,4410636
RPG,Apr,74942456
RPG,Aug,95324643
RPG,Dec,56267055
RPG,Feb,66077658
RPG,Jan,50608925
RPG,Jul,64504021
RPG,Jun,71597012
RPG,Mar,69215779
RPG,May,93642345
RPG,Nov,64669648
RPG,Oct,93476743
RPG,Sep,120853459
Simulation,Apr,130470543
Simulation,Aug,96717241
Simulation,Dec,64648465
Simulation,Feb,85181882
Simulation,Jan,40218671
Simulation,Jul,82826331
Simulation,Jun,106429292
Simulation,Mar,60809446
Simulation,May,67446314
Simulation,Nov,127782820
Simulation,Oct,78992022
Simulation,Sep,74353246
Sports,Apr,8089000
Sports,Aug,17194956
Sports,Dec,13139712
Sports,Feb,28744006
Sports,Jan,6838753
Sports,Jul,5354553
Sports,Jun,20526392
Sports,Mar,5175314
Sports,May,8532172
Sports,Nov,14080499
Sports,Oct,8120658
Sports,Sep,25626228
Strategy,Apr,113474345
Strategy,Aug,69078455
Strategy,Dec,43128268
Strategy,Feb,71284463
Strategy,Jan,41360120
Strategy,Jul,58249355
Strategy,Jun,66947576
Strategy,Mar,56364898
Strategy,May,102892846
Strategy,Nov,65987847
Strategy,Oct,69946662
Strategy,Sep,81860186
