PEGI,Label,revenue,sommeRevenue
0,Action,3770,13665194551
0,Adventure,1440,10685958543
0,Casual,53816,4204065039
0,"Free to Play",0,3248849916
0,Racing,1716,738723596
0,RPG,26593,7372588642
0,Simulation,93238,8879703678
0,Sports,0,1429928082
0,Strategy,1364,7702275453
0,NULL,1364,57927287500
3,Action,2,161511
3,Adventure,0,182655
3,Casual,23926,185841
3,"Free to Play",0,0
3,Racing,157749,261332
3,RPG,67,67
3,Simulation,67,3185
3,Sports,0,157749
3,Strategy,157749,157749
3,NULL,157749,1110089
7,Action,2270540,5454060
7,Adventure,0,4608359
7,Casual,80,34278
7,Racing,1692930,1692934
7,RPG,8312,13749514
7,Simulation,113,5430602
7,Strategy,24813,6752507
7,NULL,24813,37722254
12,Action,5878080,366545868
12,Adventure,212,157939852
12,Casual,5053310,8357831
12,"Free to Play",37855300,37896397
12,Racing,5878080,5880875
12,RPG,5933480,226620305
12,Simulation,8086800,58521009
12,Sports,11122400,30188965
12,Strategy,956588,102087607
12,NULL,956588,994038709
16,Action,446235,5282808784
16,Adventure,3224720,2734277930
16,Casual,199174,148518954
16,"Free to Play",9602530,182514361
16,Racing,8153,14859100
16,RPG,11256900,2200771114
16,Simulation,375,132898327
16,Sports,1476220,1838135
16,Strategy,31498,296463341
16,NULL,31498,10994950046
18,Action,748,557808485
18,Adventure,109913,268968362
18,Casual,0,954622
18,"Free to Play",0,5185256
18,Racing,492149,492149
18,RPG,8546,223516844
18,Simulation,965,3157204
18,Sports,60,3642
18,Strategy,377503,48457737
18,NULL,377503,1108544301
NULL,NULL,377503,71063652899
